CustomerID,Gender,Age,Annual Income ,Spending Score 
1,Male,19,15.0,81.0
2,Male,21,15.0,81.0
3,Female,20,15.0,6.0
4,Female,23,16.0,77.0
5,Female,31,17.0,40.0
6,Female,22,17.0,76.0
7,Female,35,18.0,6.0
8,Female,23,18.0,94.0
9,Male,64,19.0,3.0
10,Female,30,19.0,72.0
11,Male,67,19.0,14.0
12,Female,35,19.0,99.0
13,Female,58,20.0,15.0
14,Female,24,20.0,77.0
15,Male,37,20.0,13.0
16,Male,22,20.0,79.0
17,Female,35,21.0,35.0
18,Male,20,21.0,66.0
19,Male,52,23.0,29.0
20,Female,35,23.0,98.0
21,Male,35,24.0,35.0
22,Male,25,24.0,73.0
23,Female,46,25.0,5.0
24,Male,31,25.0,73.0
25,Female,54,28.0,14.0
26,Male,29,28.0,82.0
27,Female,45,28.0,32.0
28,Male,35,28.0,61.0
29,Female,40,29.0,31.0
30,Female,23,29.0,87.0
31,Male,60,30.0,4.0
32,Female,21,30.0,73.0
33,Male,53,33.0,4.0
34,Male,18,33.0,92.0
35,Female,49,33.0,14.0
36,Female,21,33.0,81.0
37,Female,42,34.0,17.0
38,Female,30,34.0,73.0
39,Female,36,37.0,26.0
40,Female,20,37.0,75.0
41,Female,65,38.0,35.0
42,Male,24,38.0,92.0
43,Male,48,39.0,36.0
44,Female,31,39.0,61.0
45,Female,49,39.0,28.0
46,Female,24,39.0,65.0
47,Female,50,40.0,55.0
48,Female,27,40.0,47.0
49,Female,29,40.0,42.0
50,Female,31,40.0,42.0
51,Female,49,42.0,52.0
52,Male,33,42.0,60.0
53,Female,31,43.0,54.0
54,Male,59,43.0,60.0
55,Female,50,43.0,45.0
56,Male,47,43.0,41.0
57,Female,51,44.0,50.0
58,Male,69,44.0,46.0
59,Female,27,46.0,51.0
60,Male,53,46.0,46.0
61,Male,70,46.0,56.0
62,Male,19,46.0,55.0
63,Female,67,47.0,52.0
64,Female,54,47.0,59.0
65,Male,63,48.0,51.0
66,Male,18,48.0,59.0
67,Female,43,48.0,50.0
68,Female,68,48.0,48.0
69,Male,19,48.0,59.0
70,Female,32,48.0,47.0
71,Male,70,49.0,55.0
72,Female,47,49.0,42.0
73,Female,60,50.0,49.0
74,Female,60,50.0,56.0
75,Male,59,54.0,47.0
76,Male,26,54.0,54.0
77,Female,45,54.0,53.0
78,Male,40,54.0,48.0
79,Female,23,54.0,52.0
80,Female,49,54.0,42.0
81,Male,57,54.0,51.0
82,Male,38,54.0,55.0
83,Male,67,54.0,41.0
84,Female,46,54.0,44.0
85,Female,21,54.0,57.0
86,Male,48,54.0,46.0
87,Female,55,57.0,58.0
88,Female,22,57.0,55.0
89,Female,34,58.0,60.0
90,Female,50,58.0,46.0
91,Female,68,59.0,55.0
92,Male,18,59.0,41.0
93,Male,48,60.0,49.0
94,Female,40,60.0,40.0
95,Female,32,60.0,42.0
96,Male,24,60.0,52.0
97,Female,47,60.0,47.0
98,Female,27,60.0,50.0
99,Male,48,61.0,42.0
100,Male,20,61.0,49.0
101,Female,23,62.0,41.0
102,Female,49,62.0,48.0
103,Male,67,62.0,59.0
104,Male,26,62.0,55.0
105,Male,49,62.0,56.0
106,Female,21,62.0,42.0
107,Female,66,63.0,50.0
108,Male,54,63.0,46.0
109,Male,68,63.0,43.0
110,Male,66,63.0,48.0
111,Male,65,63.0,52.0
112,Female,19,63.0,54.0
113,Female,38,64.0,42.0
114,Male,19,64.0,46.0
115,Female,18,65.0,48.0
116,Female,19,65.0,50.0
117,Female,63,65.0,43.0
118,Female,49,65.0,59.0
119,Female,51,67.0,43.0
120,Female,50,67.0,57.0
121,Male,27,67.0,56.0
122,Female,38,67.0,40.0
123,Female,40,69.0,58.0
124,Male,39,69.0,91.0
125,Female,23,70.0,29.0
126,Female,31,70.0,77.0
127,Male,43,71.0,35.0
128,Male,40,71.0,95.0
129,Male,59,71.0,11.0
130,Male,38,71.0,75.0
131,Male,47,71.0,9.0
132,Male,39,71.0,75.0
133,Female,25,72.0,34.0
134,Female,31,72.0,71.0
135,Male,20,73.0,5.0
136,Female,29,73.0,88.0
137,Female,44,73.0,7.0
138,Male,32,73.0,73.0
139,Male,19,74.0,10.0
140,Female,35,74.0,72.0
141,Female,57,75.0,5.0
142,Male,32,75.0,93.0
143,Female,28,76.0,40.0
144,Female,32,76.0,87.0
145,Male,25,77.0,12.0
146,Male,28,77.0,97.0
147,Male,48,77.0,36.0
148,Female,32,77.0,74.0
